Product_Name,Price,Monthly_Purchases,Ratings,Brand
Naturesta BBQ Sauce 79g – Smoky Mini BBQ Flavor – Diet and Keto-Friendly Sauce for Quick Meals,40.0,600,3.9,Naturesta BBQ
Vitrac diet fig jam - 220 gm,33.95,500,4.4,Vitrac diet
Abu Auf Pink Salt Himalayan (Powder) - 400 Gm,40.0,400,4.5,Abu Auf
Lamar Peach Juice - 200 ml,7.45,400,4.2,Lamar Peach
"NAN Optipro Stage 3 (1 - 3 years), 800g",602.4,500,4.6,NAN Optipro
Naturesta Buffalo Hot Sauce 79g – Diet Sauces – Keto-Friendly Vegan Sauce,40.0,600,3.7,Naturesta Buffalo
Lavazza Crema e Gusto Forte 10 Capsules Intensity 13 ideal for Ristretto,225.1,500,4.4,Lavazza Crema
Almarai plain milk 1L Skimmed PET,47.95,400,4.4,Almarai plain
Abu Auf Snacks protein Onions & cream 60 Gram,20.0,100,4.0,Abu Auf
Vitrac mango jam - 430 gm,47.0,400,4.0,Vitrac mango
"Dreem chocolate spread with natural hazelnut, 900G",283.45,500,4.5,Dreem chocolate
"Pepsi Carbonated Soft Drink, 250Ml",8.55,300,4.2,Pepsi Carbonated
Sunshine Tuna Chunks Spicy - 185gm,59.5,400,4.6,Sunshine Tuna
E espresso Black intensity 13,165.0,10,0.0,E espresso
NESCAFÉ Classic Jar 47.5g,81.95,600,4.0,NESCAFÉ Classic
Habouba yellow lentils 500 gm,33.0,600,4.4,Habouba yellow
Freska Coated Chocobar -12 Pieces,64.01,500,4.5,Freska Coated
Naturesta yellow mustard sauce 76g – zesty flavor – keto & diet friendly – squeeze bottle condiment,40.0,500,4.0,Naturesta yellow
Wadi Food Tomato Paste 360 gm Jar,32.0,700,4.5,Wadi Food
"Dobella food liquid vanilla, 100 ml",52.22,500,4.4,Dobella food
Haj Arafa Onion Powder 35 g,10.0,400,4.4,Haj Arafa
Limitless Chromax cut,383.51,400,4.2,Limitless Chromax
"NAN Optipro Stage 1 (0 - 6 months), 800g",598.0,300,4.5,NAN Optipro
Abu auf Turkish Coffee medium Roast with cardamom 200gm,189.9,500,4.3,Abu auf
Ahmad Tea London Blend Tea 100 Tea Bags,126.0,500,4.7,Ahmad Tea
Abu Auf Grind Black Pepper 90 Gm,78.0,400,4.7,Abu Auf
Mivolis Balea Sugar Diet 1200 Tablets 72 gm,222.0,700,4.4,Mivolis Balea
Juhayna Mix Banana Juice 200 ml,9.95,300,4.4,Juhayna Mix
Almashreq Gardinz Import & Trade Dobella Pomegranate Molasses 280 g,45.56,500,4.3,Almashreq Gardinz
"Lamar Guava Drink, 200 ml",6.95,400,4.2,Lamar Guava
Davidoff Café Rich Aroma Instant Coffee 3.5oz/100g,399.0,300,4.4,Davidoff Café
Vitrac fig jam - 430 gm,47.0,300,4.3,Vitrac fig
"Ilou Premium Ketchup, 400g",41.5,700,4.4,Ilou Premium
Al Doha Potato seasoning - 25 gm,13.45,400,4.3,Al Doha
Abu Auf Cranberry - 25 gm,27.0,500,3.7,Abu Auf
Beyti Juice 235ml Mango,7.45,300,4.4,Beyti Juice
iSiS Natural Anise Herbal Tea – 50 Envelopes,65.0,500,4.6,iSiS Natural
"Dreem cake chocolate flavor, 400 gm",56.75,500,4.6,Dreem cake
Bakerdream Instant Dry Yeast 90 gm,30.45,500,4.5,Bakerdream Instant
Almarai 200ml Chocolate,11.95,400,4.5,Almarai 200ml
Norica 100% Natural Ground Cumin - 70 gm,28.2,400,4.3,Norica 100%
Tolido Plain Foul Beans - 400 Grams,19.0,400,3.9,Tolido Plain
Beyti Juice 235ml Orange,7.45,300,4.3,Beyti Juice
Lavazza Gusto Forte Espresso Beans (1kg),1149.0,500,4.4,Lavazza Gusto
Knorr Chicken Stock 8 Cubes,12.4,500,4.5,Knorr Chicken
"Extra Strawberry Gum is perfect for refreshing wherever you are.Keep a pack in your car, backpack or pocket for fresh breath whenever you need it.",89.2,300,4.2,Extra Strawberry
Almarai Milk Full-Fat Milk 6 x 1 Liter Save 10 EGP,463.09,1000,4.4,Almarai Milk
Beyti Juice 235ml Apple,7.45,300,4.4,Beyti Juice
Coca Cola 950 ml,22.75,300,4.6,Coca Cola
Fitness Biscuits Plain 30g - Pack of 12,66.0,500,4.4,Fitness Biscuits
Molto XXL Big (60g),10.0,300,4.6,Molto XXL
Nescafe Gold Dark Roast Instant Coffee Jar 190g,478.95,600,4.6,Nescafe Gold
"Extra Fresh Bubble Mint Flavor Gum, Sugar Free, 60 Count, Enjoy Refreshing Wherever You Are, Get Ready For Every Opportunity",89.2,500,4.4,Extra Fresh
Vitrac apricot diet jam- 220 gm,40.95,400,4.2,Vitrac apricot
"KitKat Mini Bag, 250g",179.2,400,4.4,KitKat Mini
"Ponky Long Chips Potato Snack, Hot Pepper Flavor, 75g",28.0,200,3.6,Ponky Long
Abu Auf Grind Cumin 75 Gm,65.0,200,4.5,Abu Auf
Dobella himalayan natural salt - 650 gm,46.67,500,4.5,Dobella himalayan
"Sonbolat El Forat Premium Whole Meal Flour, 1kg",53.0,500,4.5,Sonbolat El
Knorr Vegetar Broast Mix Regular,36.95,400,3.8,Knorr Vegetar
"Balance Protein Crackers Sour Cream, 70-78",15.0,400,4.4,Balance Protein
Vitrac date jam - 430 gm,47.0,300,4.0,Vitrac date
Imtenan Brown Sugar- 750 Gm,90.21,500,4.4,Imtenan Brown
"Miro Milk Powder Skimmed Bags, 700 gm",171.95,400,4.4,Miro Milk
Al Doha rice with secret mixture- 320gm,38.06,300,4.2,Al Doha
Fitness Biscuits Apple&Cinnamon Sharing Box 180g - 24 Pieces,39.45,400,4.4,Fitness Biscuits
اقراص سكر باليا للتحليه من ميفوليس 1200قرص 72 جرام صناعه الماني,225.0,400,4.3,اقراص سكر
"Knorr Cream of Mushroom Soup,75G",28.0,400,4.3,Knorr Cream
Maxtella chocolate spread 900Gm,149.0,200,4.2,Maxtella chocolate
Doritos Smoky BBQ Tortilla Chips (55 g-70 g),10.0,200,4.5,Doritos Smoky
Vitrac creamy strawberry jam - 430 gm,47.0,300,4.4,Vitrac creamy
Ganna Ghee 1.5 Kg - Packaging May Vary,156.94,400,4.4,Ganna Ghee
Lametna vermicelli pasta pouch 1kg,32.0,700,4.4,Lametna vermicelli
Lipton yellow label tea dust - 250 g (Pack of 1),60.0,500,4.4,Lipton yellow
Sunshine Tuna Flakes -Easy Open 185gm,37.8,300,4.1,Sunshine Tuna
"Crystal Yellow Vegetable Ghee, 2.5kg",249.0,300,4.4,Crystal Yellow
Healthy Spread Original Chocolate 375 g,349.98,500,4.4,Healthy Spread
Naturesta Salad Dressing Honey Mustard 210g – Sweet and Tangy Flavor – Diet-Conscious Dressing,100.0,300,3.5,Naturesta Salad
Imtenan Breastfeeding herbal tea 18 filters,45.0,400,4.4,Imtenan Breastfeeding
Sunshine Tuna Flakes Spicy - Easy Open 185g,37.8,300,4.1,Sunshine Tuna
Abu Auf Powder Garlic 90 Gm,42.25,300,4.4,Abu Auf
"Heinz Pasta Sauce, 365 gm",40.95,400,4.4,Heinz Pasta
Mazaq karak cardamom tea - 12 sachets,104.96,400,4.2,Mazaq karak
"ILOU Good France Sweet Chilli Sauce, 400ml",48.0,500,4.5,ILOU Good
Sprite 950 ml,22.75,200,3.4,Sprite 950
"Royal roselle herbs, 50 bags",40.95,400,4.5,Royal roselle
